,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,saat semua cowok usaha lacak perhati gue loe lantas remeh perhati yg gue kasih khusus elo basic elo cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
1,rt user user siapa telat ngasih tau eluedan sarap gue gaul cigax jifla cal sama siapa noh licew,0,1,0,0,0,0,0,0,0,0,0,0
2,kadang aku berfikir aku tetap percaya tuhan padahal aku selalu jatuh berkalikali kadang aku rasa tuhan ninggalkan aku sendiri orangtuaku rencana pisah kakak lebih pilih jadi kristen aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3,user user aku akunnku tau mata sipit liat mana aku,0,0,0,0,0,0,0,0,0,0,0,0
4,user user kaum cebong kapir udah liat dongok awal tambah dongok hahahah,1,1,0,1,1,0,0,0,0,0,1,0
5,user bani taplak dkk xfxfxxxfxfxxxfxfxx,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilkada aman anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya karakter utama cowonya kena friendzone bray xd url,0,1,0,0,0,0,0,0,0,0,0,0
8,nah admin belanja satu port baik nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak mertua taipan depan twins baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
9,user enak lg klo smbil ngewe,0,1,0,0,0,0,0,0,0,0,0,0
10,gw punya jari tengah buat lu bom gw ukur nyali sama bacot lu xfxfxxf,1,1,1,0,0,0,0,0,1,1,0,0
11,user user user user banci kaleng malu ga jawab tanya dari hari lalu nyungsep koe user url,1,1,1,0,0,0,0,1,0,1,0,0
12,kalo ajar ekonomi mesti jago privatisasi hati orang duh ironi user,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huruhara prabowo s lengser perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14,user bu guru enak jadi jablay guru esde sihnkayaknya nikmat jadi pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
15,user user user user user user lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw aku hadis nabi itu sahih kafir kyk loe tolak makanya loe ahlunnar,1,1,1,0,1,0,0,0,0,1,0,0
16,belakang kok fikiran ampas banget,0,0,0,0,0,0,0,0,0,0,0,0
17,ari sarua bek mah repeh monyetxfxfxxxfxfxx,0,1,0,0,0,0,0,0,0,0,0,0
18,jadi cowo harus gantle kalo ga gantle nama banci,1,1,0,1,0,0,0,1,0,0,1,0
19,user slga mnr bom xfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
20,asw tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,0,1,0,0,0,0,0,0,0,0,0,0
21,user kalo kamu noob peluang disakitin nya lebih gede si,0,0,0,0,0,0,0,0,0,0,0,0
22,user joko widodo nilai presiden lemah sejarah indonesia ini jadi bukan jokowi milik modal dukung politik cukup juga karena ketidakmampuan perintah hadap situasi ekonomi g,0,0,0,0,0,0,0,0,0,0,0,0
23,ajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional kertajati bangun gubernur ahmad heryawan guna apbn perintah pusat insya allah siap operasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
25,siapa gubernur presiden rakyat kita,0,0,0,0,0,0,0,0,0,0,0,0
26,si user kerja delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
27,turut pintu sorga yaitu pintu sorga asli pintu hati modusbanget,0,0,0,0,0,0,0,0,0,0,0,0
28,rt user user user pki muncul jelang pilih kepala daerah pilih presiden krn goreng gosong,1,0,0,1,0,1,0,0,0,0,1,0
29,user user mah sdh neneknenek sy heran sama cebong biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
30,user user user user user user user user user islam nusantara produk jil pasar dg gencar antekxcxb jilnnsementara jil anti arab pro asengnnkata alm kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
31,habis sahur sampe jam sibayik udah nete x skg rasa lemas tak kira xfxfxaxa,0,0,0,0,0,0,0,0,0,0,0,0
32,user gak kak emak mah gak demen ama sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
33,rt user laku homok jaman now ngentot aja live blued gayvid gvid lokalhangat url,0,1,0,0,0,0,0,0,0,0,0,0
34,user ga kak gua bukan orang jawa maaf yak gua orang palembang soal kakak aja deh yg ajar aksara jawa kalak mau ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training kek mentang gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males beli kabur gua matahari,1,1,0,1,0,0,0,0,1,0,1,0
36,xexxdpara bajing telah luka lady terima ganjar ratus kali lipatxexxdsanji hbdthpelautjkt,0,1,0,0,0,0,0,0,0,0,0,0
37,aja tolak berita hoax sukses pilkada wilayah kota keidri,0,0,0,0,0,0,0,0,0,0,0,0
38,user user presiden ri jokowi luarbiasa kerja nya tulus ihlas rakyatbrsamajkw,0,0,0,0,0,0,0,0,0,0,0,0
39,edan emang goollnya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
40,gapernah dalam alquran bang pantesan mulut kaya orang kafir bejat hina farhatabbaslaw,1,1,1,0,1,0,1,0,0,1,0,0
41,sangat lihat beda sekali wibawa yg sangat wibawa cuma gubernur indonesia user massya allah,0,0,0,0,0,0,0,0,0,0,0,0
42,anjir baru kali lihat orang bego mau debat pilkada kerja nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1,1,0,1,0,0,0,0,1,0,1,0
43,gubernurzamannow gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot rt user keanekaragaman budaya suku agama sungguh kaya kita tutur djarot hadap serta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
44,user user apa iya islam ga lokalisasi lha kristen aja mas nusantara mas liat aja gereja bandung yg pake gamelan yg khotbah pake bhs sundajawa ada hkbp kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
45,cipta situasi kamtibmas jelang pilkada kapolsek konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46,user user positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0,0,0,0,0,0,0,0,0,0,0
47,user user user user kata sembahyang adopsi tradisi lokal masa kerja hindunnistilahxcxasembahyangxcxapun lahir tradisi ritusxcxamenyembahhyang tunggal sama denganxcxashalat sembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,kau dik tinggi bodohgk larang bawa agamabiar orang islam yg bayar ahok sadar gk jadi milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0
49,user user btp the best abai kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
50,user user si otak tempurung mah ga usah d ladenin smkn d lawan makin bloon dungu kalo ga gitu ga makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
51,user awaasss jgn sampe berita sampe akh gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong samping suara keluar ky lg nhn kentut politik kotor skl jmn klu tahu brt plng ky nhn ngedendungu xfxfxxb,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur taonan tuh gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
53,user cerita silat lae xfxfxx macam kho ping hoo indonesia liang ie shen tulis dari china,0,0,0,0,0,0,0,0,0,0,0,0
54,rt user benci sekali dgn umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55,user user user provokasi mayat politisasi agama sebab kalah pilkada dki begini cara cebong deskripsi kalah junjung fyi ahog blm pernah ikut pilih apa kec jd wakil dia bukan etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0
56,user pada gua nete,0,1,0,0,0,0,0,0,0,0,0,0
57,user lol bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur lahir siapa kuasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp ibadah atus th laknat krn hasud takabburnya hanya orang ahli ilmu filsafat yg tdk failosof kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang suka konserkonser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
60,kapan makan racun banyak ulama kata hukum rokok mubah ada juga,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri minta khofifah emil dekat masyarakat no baguss khofifahemilnomer,0,0,0,0,0,0,0,0,0,0,0,0
62,user udah biasa kali gue kpoper kalo ngomonv sama temen gue idol gua banci homo,1,1,1,0,0,0,0,1,0,1,0,0
63,suka video user url awal kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya kafir sungguh klau islam diendahkan,0,0,0,0,0,0,0,0,0,0,0,0
65,user user user user xfxfxexb la la lahm hmm xfxfxexa semua diam semua bisunkita coba tanya sama rumput yg goyang nxexxabxexxabxexxabxexxaaxexxaaxexxaa,0,0,0,0,0,0,0,0,0,0,0,0
66,apabila setan bisik waswas kepada minta lindung allah qs alaxexxraf fushilat,0,0,0,0,0,0,0,0,0,0,0,0
67,user user user user user user user klw ente atheisngapain sibuk dgn agama orang,0,0,0,0,0,0,0,0,0,0,0,0
68,lengser jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
69,user selamat hari kartini gantipresiden presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0
