,sentimen,Tweet
0,0.0,barusan liat tulis belakang truk rela injek kopling kamu shopping
1,0.0,her lho miss kevin sama keven rebut gimbot wis aku beli ae nunjuk the twins yg asik main ipad masin
2,0.0,iya rep gatau aku kelas sd ehh block
3,0.0,aku mohon tepat janji penantiancintaeps
4,0.0,bukan ria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser
5,0.0,aku ingat habanero paling pedas rupa kali ganda yg pedas gila
6,0.0,aku tengok drama cinta bukan kristalatu conversation anak bapak bapak iyeee sekarang semua perempuan n
7,0.0,yg aku butuh interaksi l l yuk yg line segitu kuy mutualan ku follow auto followback rt aja
8,0.0,kau dah tak streak aku
9,0.0,yg lama nunggun video aku nih retweet yg mau full
10,0.0,tak kisah bf ade kawan perempuan aku ade kawan laki kalau over nak ngadu nak cite ini send ga
11,0.0,high
12,0.0,malam undang opening hungerbelt spazio teman aku laaaahhh siiisssss
13,0.0,aku tambah ia
14,0.0,benar ramai sifu property approach aku utk join kelas investment etcemua cerita beli rumah murah sewa
15,0.0,lecturer aku suruh tampal note kat tempat aku selalu tengok tak aku nak tampal kat muka crush pulak
16,0.0,thn aku ken nikah umur sm orang gin gin gin thn blm yg nglamar thn si
17,0.0,dengar bual budak sekolah aku nk amik a level aku nk amik asasi asasi ok matrik kan aa
18,0.0,cara outin diri sendiri gimana sih bisa outin aku aku bayar deh g
19,0.0,mana gampaang aku nanya dulu tauu
20,0.0,makan tido makan tido hari ni aku reput je la kat rumah hadap orang ni haih
21,0.0,threado as promised aku nk citer alam aku ambik teh kurus pil kurus it was mcm tuince everyone was s
22,0.0,makanya tadi aku kaget lihat teman kabar nya udah meni hati kamu kapan taaruf kok ga cium kabar
23,0.0,aku dong mbak link kalo jepang main
24,0.0,hyung kamu kanibal kan
25,0.0,jajanin aku kak
26,0.0,tiga aku satu aja gapunya
27,0.0,hi semua aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow retwee
28,0.0,aku rumah aja anagram besok malam minggu
29,0.0,jumat malam sama kawan dalam mobil tuju sebwah apartemen diurabaya barat b gaes sorry aku a k
30,0.0,aku nang kampus ngopi ketemu wong podo kabeh takok e lapo ubah sosyeti a
31,0.0,kamu kan
32,0.0,x de adab betul budak ni pinjam buku aku
33,0.0,popular weh sorry aku blur x paham mksd hg
34,0.0,broimak video ribka tjiptaning tulis buku aku bangga jadi anak pki tuju pki tetap yang d
35,0.0,mau mandi diceramahin dulu sama nyonya besar inti sama tobat kamu abis iniiap komandan
36,0.0,jual suruh tebuk lubang kecik ja tahan lebih hari aku dh nk dekat bulan x hb
37,0.0,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat aku ni anak jawa
38,0.0,aku kepo
39,0.0,arti aku bener dong jawab cowok dapet jt nih
40,0.0,tls followan ama aku yukk rep rt temenan
41,0.0,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila cakap content ive never thought y komuniti ki
42,0.0,lepas tengok movie onetwojaga ingat pulak time intern dulu kerja contractor quantityurvey juruuk
43,0.0,tahan sayang juga paksa kamu kapel kamu yang mana
44,0.0,so aku pergi klinik muntah tengok carta organisasi buat aku nak gelak apa ni wei
