tweet,hatespeech
saat semua cowok usaha lacak perhati gue loe lantas remeh perhati yg gue g khusus elo basic elo cowok bego,1
rt user user siapa telat ngasih tau eluedan sarap gue gaul cigax jifla s cal sama siapa noh licew,1
kadang aku tetap percaya tuhan aku jatuh berkalikali aku rasa sendiri rencana pisah kakak pilih jadi kristen anak,0
user user h akunnku tau mata sipit liat mana h,0
user user liat cebong kapir udah kaum dongok awal tambah dongok hahahah,1
a user bani taplak dkk xfxfxxxfxfxxxfxfxx,1
deklarasi anti dukuh sari,0
r gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya karakter utama cowonya kena friendzone bray xd url,1
nah admin belanja satu port baik nak makan ais kepal d milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak mertua taipan depan twins baby amp romantika bank islam senawang,0
user klo lg enak smbil ngewe,1
gw punya tengah lu gw ukur nyali sama lu,1
user user a user user banci kaleng malu ga jawab tanya dari hari lalu nyungsep koe user url,1
kalo ekonomi orang duh user,0
aktor huruhara a prabowo s lengser perintah jokowi nyata,1
user bu guru enak jadi jablay guru o esde sihnkayaknya nikmat jadi pecun guru,1
user user gak intelek loe yg gw aku nabi itu kafir ahlunnar,1
belakang kok fikiran ampas b banget,0
ari sarua bek mah repeh monyetxfxfxxxfxfxx,1
ga cowo harus gantle kalo jadi gantle nama banci,1
user slga mnr bom xfxfxx,0
asw tapi gua jarang ngambek tacut wkkwkwkwkw kan gua bucin,1
user kalo kamu noob peluang gede nya lebih disakitin si,0
user joko widodo nilai presiden lemah sejarah indonesia ini jadi bukan jokowi milik modal u politik cukup juga karena ketidakmampuan perintah hadap situasi ekonomi g,0
kec bilah hilir deklarasi anti hoax amp,0
bandara internasional ahmad heryawan apbn allah siap operasi bulan,0
siapa gubernur a rakyat kita,0
si user kerja delay mulu n,1
turut pintu sorga yaitu pintu sorga m pintu hati modusbanget,0
rt user user user pki muncul i jelang pilih kepala daerah pilih presiden krn goreng gosong,1
biasay user mah sdh neneknenek sy heran sama cebong user bohong terus,1
user user user user user user user nusantara user islam user produk jil pasar dg gencar antekxcxb jilnnsementara jil anti arab pro asengnnkata alm kh hasyim muzadi,1
habis sahur sampe jam sibayik udah nete x skg rasa lemas tak l kira xfxfxaxa,0
user gak kak m mah gak demen ama sipit wkwk,0
rt user k homok jaman now ngentot aja live blued gayvid gvid lokalhangat url,1
user ga kak gua bukan orang jawa maaf yak gua orang palembang soal k aja deh yg ajar aksara jawa kalak mau ajar budaya palembang,0
pegawai guardian training kek mentang gue kek gembel kabur kaos sama flat shoes nanya dijutekin bangsad emang males beli cuman gua matahari,1
telah luka terima hbdthpelautjkt,1
g aja tolak berita hoax sukses pilkada wilayah kota keidri,0
user user presiden ri jokowi luarbiasa j nya tulus ihlas rakyatbrsamajkw,0
edan emang i goollnya fabiano,1
gapernah dalam alquran bang pantesan mulut kaya orang kafir bejat i farhatabbaslaw,1
sangat lihat beda sekali wibawa yg sangat wibawa cuma massya indonesia user gubernur allah,0
anjir baru kali lihat orang bego mau silvy pilkada kerja nyerang karakter shame on you mpok debat and agus debatfinalpilkadajkt,1
gubernurzamannow l gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot rt user keanekaragaman budaya suku agama sungguh kaya kita tutur djarot hadap serta rakercabsu,0
user user apa iya khotbah ga lokalisasi lha kristen aja mas nusantara mas liat aja gereja bandung yg pake gamelan yg islam pake bhs sundajawa ada hkbp kurang nusantara apa,0
cipta k situasi kamtibmas jelang pilkada kapolsek konang silaturahmi tokoh masyarakat,0
user koknsepositif masyarakat imporn imporn imporn esemka,0
user sembahyang tradisi lokal hindunnistilahxcxasembahyangxcxapun,0
kau dik u bodohgk larang bawa agamabiar orang islam yg bayar ahok sadar gk jadi milih ahok gla,1
user user btp the best abai kaum kampret a micin,1
user user si otak tempurung mah ga usah d ladenin smkn d gitu makin bloon dungu kalo ga lawan ga makan hehe,1
user jgn berita gerung nyari kosakatany micingin bibir monyong suara lg kotor skl jmn,1
pinokio p umur taonan tuh gantipresiden,1
xfxfxx macam kho ie shen dari china,0
rt user h sekali dgn umat islam,1
