cpu,memory
0.0,36.8
3.1,37.1
5.2,37.1
0.3,37.1
2.8,37.2
5.7,37.2
3.8,37.1
5.5,37.5
6.7,37.4
3.6,37.4
1.2,37.2
1.1,37.2
0.7,37.1
0.8,37.1
1.7,37.2
1.1,37.2
1.4,37.2
1.2,37.1
0.6,37.1
1.1,37.1
0.7,37.1
0.9,37.1
0.9,37.0
1.8,37.0
0.6,37.0
1.3,37.0
0.5,37.0
1.4,37.1
1.3,37.1
1.3,37.1
1.6,37.1
1.9,37.1
1.7,37.1
1.5,37.1
0.8,37.1
1.7,37.1
1.6,37.1
1.4,37.2
1.8,37.3
1.2,37.3
1.0,37.4
1.9,37.3
1.8,37.3
2.8,37.3
1.6,37.2
1.2,37.2
1.4,37.2
1.6,37.2
1.3,37.2
2.1,37.2
1.7,37.2
0.5,37.2
0.6,37.3
0.8,37.2
1.3,37.2
2.7,37.2
3.4,37.2
2.9,37.2
0.7,37.2
1.5,37.5
3.1,37.2
1.7,37.3
0.8,37.2
0.9,37.2
0.9,37.2
0.9,37.2
1.7,37.3
0.9,37.2
0.8,37.2
0.6,37.2
0.9,37.2
1.7,37.2
1.1,37.3
1.4,37.3
0.7,37.4
1.1,37.5
0.9,37.6
0.7,37.5
1.0,37.7
0.5,37.5
1.1,37.4
1.8,37.4
1.0,37.5
0.6,37.5
1.2,37.5
0.6,37.6
1.0,37.4
1.5,37.5
0.9,37.5
1.5,37.5
0.5,37.5
1.1,37.6
0.4,37.6
1.2,37.6
0.4,37.5
2.1,37.7
0.5,37.6
1.4,37.7
0.4,37.7
1.1,37.5
0.5,37.6
1.0,37.5
0.8,37.6
1.2,37.6
0.6,37.6
1.2,37.6
0.8,37.6
1.1,37.4
0.6,37.5
0.9,37.6
0.8,37.5
0.3,37.5
0.6,37.4
0.7,37.5
0.7,37.5
0.9,37.5
0.4,37.5
0.7,37.8
0.7,37.5
0.9,37.5
0.9,37.5
0.6,37.5
0.6,37.5
0.9,37.5
0.9,37.5
0.7,37.6
0.4,37.5
0.8,37.5
0.4,37.5
0.7,37.5
0.7,37.7
0.9,37.7
0.3,37.5
0.9,37.5
1.2,37.5
0.7,37.5
0.9,37.7
0.6,37.5
0.2,37.6
0.9,37.5
1.2,37.6
0.5,37.6
0.9,37.5
0.5,37.6
2.1,37.6
0.4,37.5
1.5,37.5
0.9,37.7
0.9,37.8
0.8,37.7
0.4,37.7
1.0,37.7
0.9,37.7
1.0,37.6
0.8,37.7
0.2,37.6
1.3,37.6
0.5,37.8
0.7,37.6
1.0,37.7
0.5,37.6
0.4,37.7
1.0,37.6
0.9,37.6
1.0,37.6
0.9,37.6
1.0,37.6
1.2,37.6
0.4,37.7
1.1,37.6
0.5,37.6
1.1,37.6
0.5,37.6
0.9,37.9
1.5,37.7
0.3,37.6
1.3,37.7
0.4,37.7
0.9,37.6
0.5,37.7
0.6,37.6
0.5,37.7
0.4,37.6
0.6,37.7
0.6,37.7
1.4,37.7
1.2,37.6
0.7,37.6
1.1,37.6
0.6,37.6
0.4,37.6
0.3,37.7
0.6,37.7
0.3,37.7
0.3,37.6
0.5,37.8
0.8,37.6
0.7,37.6
1.0,37.6
1.8,37.8
0.2,37.6
0.9,37.6
