cpu,memory
0.0,48.5
9.8,48.8
4.4,48.9
2.5,49.0
4.9,49.3
4.0,49.4
5.3,49.4
0.9,49.4
0.7,49.4
0.8,49.3
1.6,49.2
1.1,49.2
1.1,49.1
0.4,49.1
0.6,49.1
1.7,49.0
0.7,49.0
1.2,49.1
1.4,49.3
1.9,49.3
0.3,49.3
0.5,49.3
0.7,49.2
0.7,49.2
1.2,49.3
1.7,49.4
1.2,49.4
0.8,49.4
2.1,49.7
6.9,49.8
2.8,49.8
0.7,49.8
5.2,50.1
0.7,50.1
1.2,50.1
1.0,50.1
3.2,50.4
4.4,50.4
1.9,50.4
1.8,50.6
1.6,50.6
1.6,50.6
0.9,50.5
2.1,50.3
0.9,50.3
2.3,50.4
1.0,50.4
1.4,50.4
2.0,50.5
4.2,50.1
3.9,50.3
0.8,50.4
0.6,50.3
0.9,50.3
1.4,50.1
2.0,50.2
1.5,50.3
1.6,50.3
1.4,50.4
1.2,50.4
1.2,50.4
1.4,50.4
1.4,50.4
5.9,50.7
1.1,50.4
3.0,50.7
0.9,50.7
0.3,50.5
1.5,50.5
1.2,51.0
3.7,50.3
2.3,50.2
2.6,50.3
2.0,50.2
2.1,50.2
1.4,50.3
2.3,50.2
1.4,50.3
1.0,50.4
3.3,50.8
1.8,50.7
1.0,50.6
1.4,50.5
1.0,50.7
1.2,50.7
1.9,50.1
0.6,50.1
1.1,50.0
2.3,49.9
1.4,50.0
0.7,50.0
1.1,49.9
0.7,49.9
0.9,50.0
1.2,49.9
1.8,49.9
5.9,49.8
1.6,49.6
0.8,49.6
1.3,49.5
0.7,49.5
0.8,49.5
4.2,49.6
1.0,49.6
1.2,49.7
1.1,49.7
1.4,49.8
1.5,49.6
1.1,49.6
1.1,49.7
1.3,49.6
0.6,49.5
1.1,49.4
1.0,49.3
1.0,49.3
3.2,49.6
0.8,49.6
0.5,49.5
0.4,49.5
1.2,49.4
1.1,49.3
0.6,49.4
0.2,49.3
3.6,49.4
2.6,49.4
0.4,49.4
0.9,49.3
0.6,49.2
0.8,49.3
0.6,49.2
1.5,49.2
2.7,49.4
2.3,49.3
2.9,49.4
2.8,49.4
1.0,49.3
1.3,49.3
0.6,49.2
1.3,49.3
3.0,49.3
1.1,49.4
1.8,49.3
3.1,49.5
3.0,49.4
2.1,49.4
1.9,49.1
2.3,49.2
1.7,49.1
1.6,49.1
1.6,49.0
1.8,49.1
4.3,49.1
2.4,49.0
2.1,49.1
2.3,49.0
2.4,49.0
1.2,48.9
1.4,49.1
1.5,49.3
1.7,49.2
1.0,49.2
1.1,49.1
0.8,49.0
1.0,49.1
1.1,49.2
0.3,49.0
1.4,49.0
0.8,49.1
0.7,49.0
1.0,49.0
5.3,49.1
2.9,49.1
1.5,49.1
1.9,49.1
2.5,49.1
1.9,49.0
1.3,49.1
1.3,49.1
0.9,49.1
1.6,49.0
1.2,49.0
1.2,49.1
1.6,49.2
1.4,49.2
0.8,49.3
0.8,49.3
0.2,49.3
0.3,49.2
2.5,49.1
1.5,49.1
1.6,49.2
2.3,49.1
2.2,49.3
2.5,49.3
1.9,49.2
0.9,49.1
2.2,49.1
2.8,49.1
3.9,49.0
1.4,49.0
4.8,49.2
7.1,49.8
3.7,50.5
5.0,50.6
2.6,50.4
2.3,50.3
2.0,50.3
2.3,50.3
3.9,50.5
5.9,50.6
5.5,50.6
3.6,50.6
3.2,50.5
4.8,50.7
7.6,50.5
4.7,50.6
3.9,50.5
3.1,50.7
2.8,50.6
7.1,50.6
5.2,50.7
6.6,50.8
4.4,50.7
7.5,50.7
5.3,50.7
2.3,50.6
2.8,50.7
2.5,50.7
3.4,50.8
1.9,50.7
1.2,50.7
2.5,50.8
1.9,50.9
2.1,50.8
3.7,50.9
3.1,50.8
7.0,50.8
3.7,50.9
4.8,50.9
2.7,50.8
4.8,50.6
3.0,50.6
4.4,50.7
4.7,50.7
6.3,50.7
3.5,50.7
2.6,50.7
3.7,50.6
4.6,50.7
5.9,50.8
7.3,50.7
1.4,50.7
1.4,50.7
1.2,50.8
2.1,50.8
1.9,50.8
2.7,50.7
1.5,50.7
1.4,50.7
1.3,50.7
2.8,50.8
2.0,50.6
2.2,50.6
1.7,50.6
2.3,50.8
2.2,50.7
1.4,50.6
2.2,50.6
1.3,50.5
2.8,50.6
3.9,50.6
2.3,50.7
3.3,50.6
2.3,50.6
2.6,50.7
4.5,50.5
2.5,50.6
1.8,50.5
4.2,50.5
1.6,50.5
1.8,50.4
2.7,50.3
2.0,50.4
3.2,50.4
3.4,50.4
2.5,50.5
2.4,50.4
2.0,50.4
1.9,50.4
1.4,50.4
3.7,50.4
3.5,50.4
3.1,50.5
2.9,50.3
3.9,50.4
3.0,50.4
1.6,50.5
1.4,50.4
1.3,50.4
1.3,50.4
4.1,50.7
3.1,50.7
1.6,50.8
1.8,50.7
1.4,50.7
1.9,50.5
2.0,50.5
2.0,50.5
3.8,50.5
1.4,50.5
1.0,50.5
1.1,50.6
1.5,50.4
1.4,50.4
1.4,50.5
2.1,50.4
2.4,50.5
2.8,50.5
2.8,50.6
2.3,50.5
1.2,50.5
3.1,50.5
1.4,50.6
1.5,50.7
1.8,50.6
2.1,51.0
3.1,51.0
1.9,50.8
2.0,51.1
2.4,51.0
1.1,51.1
4.3,51.0
1.9,51.1
1.4,51.0
2.0,51.0
1.8,51.1
1.9,51.0
2.9,51.0
1.8,51.1
2.8,51.0
1.8,51.0
7.3,50.9
5.2,51.1
3.0,51.1
3.0,50.9
4.3,50.9
3.1,51.0
3.7,51.0
3.1,51.1
3.1,51.0
5.6,51.1
5.1,51.1
4.2,51.0
4.5,51.2
4.1,51.0
3.9,50.8
2.7,50.9
2.7,51.1
2.0,51.0
3.3,51.3
2.8,50.9
6.6,51.1
3.9,51.1
4.2,51.3
5.8,51.0
2.9,50.9
2.0,51.1
2.9,51.1
1.3,50.9
2.7,51.0
2.7,51.4
2.2,51.2
2.1,50.9
2.8,50.9
2.7,50.9
2.8,50.8
3.2,50.9
3.3,51.1
3.6,51.0
3.6,51.1
3.7,51.0
3.0,51.0
5.6,51.0
6.1,50.0
3.1,50.1
3.8,50.0
4.1,50.0
2.4,49.9
3.8,49.8
2.7,49.8
5.5,49.8
