cpu,memory
0.0,46.6
3.8,47.2
4.6,47.2
0.8,47.2
4.6,47.4
5.1,47.7
1.1,47.4
1.7,47.2
1.8,46.8
2.7,46.7
3.0,46.5
1.2,46.5
0.9,46.5
0.8,46.2
1.5,46.2
0.6,46.2
0.9,46.2
1.9,46.2
1.1,46.2
1.3,46.2
0.8,46.2
2.1,46.2
1.6,46.2
1.2,46.2
1.2,46.3
3.3,46.4
4.2,46.3
2.9,46.3
2.3,46.3
3.4,46.4
3.4,46.5
2.0,46.4
2.3,46.4
1.0,46.4
1.5,46.4
3.1,46.4
2.7,46.5
2.0,46.3
1.6,46.6
1.4,46.4
1.3,46.4
2.7,46.5
2.5,46.6
1.1,46.6
3.6,46.5
2.4,46.7
3.7,46.5
2.7,46.5
3.1,46.5
2.2,46.5
1.9,46.4
0.8,46.4
1.0,46.4
3.5,46.5
2.7,46.4
1.2,46.4
2.2,46.6
1.1,46.6
1.6,46.4
1.3,46.3
1.8,46.3
0.6,46.3
1.8,46.4
2.2,46.4
1.9,46.3
2.1,46.4
1.4,46.3
2.1,46.6
1.8,46.3
2.2,46.4
2.2,46.5
2.1,46.3
2.4,46.6
1.4,46.5
2.1,46.5
2.8,46.3
1.6,46.3
3.1,46.5
2.0,46.4
3.3,46.5
2.7,46.6
2.1,46.5
1.4,46.6
1.0,46.5
1.6,46.5
1.2,46.6
0.4,46.5
0.8,46.6
0.8,46.7
0.6,46.5
1.2,46.6
1.5,46.6
2.2,46.5
1.4,46.6
1.0,46.6
1.3,46.5
1.6,46.6
2.5,46.6
1.1,46.7
0.8,46.5
1.7,46.5
1.9,46.5
1.6,46.5
1.2,46.6
1.7,46.6
2.3,46.5
1.2,46.5
0.9,46.6
1.1,46.6
1.3,46.5
1.1,46.5
1.2,46.6
1.2,46.6
1.1,46.6
1.4,46.5
1.3,46.7
0.7,46.6
1.2,46.7
1.4,46.7
1.5,46.8
1.7,46.7
6.3,47.0
4.1,46.9
5.5,46.8
6.9,47.4
4.2,47.4
5.2,47.4
5.8,47.5
2.7,47.4
2.3,47.4
1.2,47.5
1.7,47.4
2.6,47.6
1.9,47.7
1.6,47.5
1.5,47.5
2.3,47.5
1.7,47.7
2.3,47.5
1.4,47.5
2.1,47.6
1.7,47.6
1.9,47.5
1.8,47.6
2.0,47.6
1.4,47.5
1.6,47.6
1.5,47.6
2.6,47.6
1.2,47.6
1.1,47.8
1.3,47.6
1.1,47.6
1.9,47.6
1.3,47.6
1.6,47.6
1.6,47.6
1.6,47.6
1.6,47.6
2.3,47.5
1.4,47.5
1.2,47.6
1.4,47.6
1.8,47.7
1.8,47.5
1.6,47.6
3.5,47.5
1.5,47.7
2.1,47.7
1.6,47.6
2.7,47.6
1.9,47.8
1.5,47.6
1.9,47.6
1.8,47.7
1.9,47.7
1.5,47.8
3.7,47.6
2.5,47.7
1.6,47.6
1.5,47.5
2.0,47.6
1.4,47.5
1.9,47.5
1.2,47.5
1.9,47.4
1.4,47.5
2.0,47.7
1.4,47.6
1.6,47.6
1.2,47.6
2.2,47.6
1.4,47.6
2.5,47.5
1.3,47.6
2.6,47.7
1.6,47.6
1.8,47.5
1.3,47.5
1.8,47.5
2.5,47.8
2.0,47.5
2.8,47.5
1.9,47.7
1.2,47.7
1.1,47.6
2.0,47.7
2.0,47.6
1.6,47.7
2.0,47.5
1.1,47.6
1.4,47.6
2.3,47.8
1.3,47.5
1.4,47.6
1.2,47.5
2.3,47.5
1.4,47.5
1.8,47.7
1.5,47.6
1.7,47.5
1.2,47.8
1.4,47.6
0.6,47.6
1.4,47.6
1.2,47.6
0.7,47.5
1.2,47.5
1.0,47.6
1.2,47.6
1.3,47.7
0.6,47.7
1.0,47.6
0.6,47.6
0.6,47.6
0.7,47.7
1.6,47.6
1.3,47.6
2.1,47.6
0.8,47.6
1.4,47.6
0.8,47.5
1.1,47.5
1.1,47.5
1.2,47.6
0.4,47.6
1.0,47.5
1.2,47.6
1.2,47.7
1.6,47.6
1.0,47.6
1.1,47.8
1.1,47.6
0.7,47.5
2.0,47.7
1.0,47.7
0.9,47.7
0.9,47.6
1.2,47.8
0.6,47.6
0.9,47.5
1.0,47.6
1.1,47.6
0.5,47.6
1.4,47.6
1.7,47.6
1.2,47.7
0.7,47.5
1.2,47.9
1.8,47.7
2.6,47.6
1.3,47.8
0.9,47.8
1.3,47.6
1.1,47.8
0.6,47.6
1.5,47.5
1.2,47.6
1.2,47.7
0.8,47.6
1.6,47.5
1.7,47.6
1.2,47.6
1.1,47.8
1.8,47.5
1.4,47.9
1.3,47.7
1.1,47.6
1.1,47.7
0.8,47.7
1.4,47.5
1.1,47.7
1.0,47.7
1.4,47.7
0.6,47.8
0.9,47.5
0.7,47.5
1.1,47.8
1.5,47.6
1.6,47.7
0.7,47.6
1.3,47.8
0.7,47.6
1.7,47.8
0.5,47.7
1.5,47.7
0.9,47.8
0.8,47.6
0.4,47.6
1.1,47.7
0.9,47.7
1.5,47.6
1.3,47.6
1.1,47.7
2.3,47.7
1.3,47.8
1.2,47.5
1.8,47.8
1.0,47.7
1.5,47.6
0.7,47.7
1.1,47.7
0.5,47.6
0.9,47.5
0.8,47.7
1.2,47.8
1.0,47.5
1.6,47.7
1.2,47.6
1.4,47.5
1.7,47.8
1.0,47.6
1.0,47.7
2.3,48.0
1.5,47.6
2.4,47.6
1.5,47.7
1.4,47.5
1.6,47.6
1.6,47.7
2.5,47.6
2.0,47.8
2.4,47.7
2.2,47.8
2.6,47.7
4.0,47.5
2.1,47.8
3.1,47.6
2.9,47.7
2.4,47.7
2.8,47.6
3.1,47.6
2.2,47.5
3.0,47.5
3.0,47.5
3.1,47.7
2.0,47.6
3.2,47.8
4.2,47.7
4.1,47.8
2.5,47.5
2.4,47.7
2.5,47.7
4.3,48.1
6.2,48.1
5.4,48.1
5.4,48.3
6.7,48.2
6.1,47.4
4.8,46.7
4.4,45.8
2.1,45.8
3.0,45.7
4.8,46.0
2.7,45.9
2.8,45.9
3.2,46.1
2.6,46.0
3.8,45.9
2.1,46.1
3.7,45.8
4.8,46.2
4.0,46.1
3.4,46.0
3.7,46.2
2.5,46.1
3.4,46.1
2.7,46.1
4.3,46.2
2.6,46.0
2.4,46.2
3.0,46.1
2.6,46.1
6.3,46.0
6.3,46.2
7.2,46.2
4.9,46.3
3.8,46.2
5.2,46.0
5.3,46.2
2.8,46.1
9.8,46.5
7.2,46.5
6.8,46.6
8.1,46.4
6.7,46.5
5.8,46.2
5.0,46.4
3.7,46.2
5.9,46.2
5.4,46.2
7.1,46.2
5.0,46.1
5.7,46.2
7.7,46.1
6.4,46.2
5.7,46.3
6.9,46.2
7.8,46.3
7.0,46.3
5.9,46.2
4.3,46.2
4.4,46.4
5.7,46.3
7.5,46.3
6.7,46.2
7.1,46.2
6.6,46.3
7.0,46.2
6.3,46.2
5.3,46.3
6.2,46.1
6.4,46.2
7.0,46.0
6.3,46.0
6.4,46.2
5.7,46.1
5.7,46.0
6.3,46.3
5.4,46.1
6.6,46.1
7.1,46.2
6.8,46.2
8.1,46.2
6.2,46.4
8.2,46.3
6.4,46.1
5.8,46.3
7.1,46.1
6.3,46.1
7.1,46.2
7.8,46.1
6.5,46.3
6.4,46.1
8.9,46.1
6.5,46.2
6.0,46.1
8.1,46.1
7.8,46.2
7.1,46.3
8.5,46.2
7.6,46.3
6.7,46.3
8.5,46.2
5.4,46.1
7.2,46.4
8.9,46.2
6.8,46.3
7.6,46.3
6.5,46.1
3.7,46.2
3.6,46.1
3.5,46.3
3.2,46.3
3.0,46.3
3.8,46.2
4.0,46.3
4.2,46.1
4.9,46.1
3.8,46.1
3.3,46.1
4.1,45.9
5.5,45.9
9.1,46.2
8.7,46.2
7.9,46.1
5.2,46.3
6.0,46.0
4.6,46.2
3.6,46.0
7.6,46.0
3.4,45.9
2.2,46.1
4.5,45.8
2.9,45.8
2.1,46.1
2.2,45.8
2.1,46.0
2.6,46.0
2.3,46.1
3.6,46.1
3.5,46.0
5.1,46.1
3.5,45.8
3.8,45.8
3.5,46.1
3.2,45.8
5.3,45.9
2.5,46.0
1.7,46.1
1.8,46.0
1.8,46.0
1.8,45.9
1.2,45.9
1.8,45.9
1.4,45.8
1.7,45.9
1.7,45.8
1.3,45.8
0.9,45.8
1.2,45.8
3.0,46.0
2.5,46.0
1.7,46.1
2.4,45.9
1.8,46.1
1.1,45.9
1.8,45.8
1.2,46.1
1.6,46.0
1.6,45.8
1.9,46.1
1.7,45.8
2.0,46.1
1.5,46.0
3.0,45.9
1.7,46.1
1.9,46.1
1.2,46.0
1.7,46.0
1.1,46.0
1.8,45.9
