cpu,memory
0.0,50.5
1.3,50.5
0.9,50.5
2.1,50.6
1.9,50.6
2.5,50.6
2.1,50.7
2.4,50.7
3.2,50.7
2.7,50.8
2.8,50.8
2.5,50.8
3.1,51.0
1.0,50.9
3.1,51.1
1.1,51.0
4.5,51.2
0.2,51.1
2.9,51.1
1.3,51.2
4.4,51.1
2.1,51.1
2.5,51.1
4.0,51.6
1.7,51.3
3.6,51.9
2.4,51.5
0.5,51.6
4.3,51.3
4.3,51.6
2.1,51.3
5.7,52.0
3.3,51.8
1.4,51.4
5.1,52.2
3.2,52.2
2.4,51.5
3.6,51.6
3.0,52.3
3.5,51.9
1.3,51.5
5.1,52.8
3.4,51.7
3.8,52.3
1.2,51.6
4.1,51.8
5.5,52.0
3.1,52.4
1.3,51.9
2.6,52.5
4.0,53.4
3.2,52.1
2.8,52.6
1.8,51.8
4.5,52.0
4.8,53.4
4.1,52.3
2.6,52.3
2.1,51.9
4.8,52.0
4.8,52.7
4.6,56.0
3.3,52.8
1.6,52.0
4.9,54.1
5.4,52.2
3.9,52.5
2.9,53.0
2.0,52.1
3.6,52.1
3.8,52.3
4.7,52.5
3.8,52.8
3.4,53.2
1.9,52.2
5.0,52.9
4.1,53.0
4.1,53.9
2.9,53.7
3.9,53.9
2.3,53.3
3.3,54.1
5.2,53.7
4.6,52.5
3.2,53.4
3.5,54.0
4.0,53.6
1.4,53.4
1.9,53.0
6.1,54.8
3.1,52.9
3.5,53.6
3.9,53.2
2.9,54.9
1.2,53.8
1.9,52.4
4.6,52.5
4.3,54.6
4.8,55.9
3.5,54.3
3.0,53.7
4.1,54.3
2.7,54.3
1.9,53.7
3.8,53.7
4.5,55.3
4.2,54.9
3.2,53.8
3.5,54.5
2.5,54.3
3.0,54.7
1.3,54.6
1.6,54.1
2.1,54.0
4.1,53.9
4.1,54.6
2.5,54.7
5.0,55.3
3.2,54.1
3.8,54.2
2.9,54.8
2.6,54.8
1.5,54.5
1.8,54.1
2.2,54.1
2.3,54.1
3.8,56.5
4.1,56.2
3.3,54.2
4.7,54.2
3.9,54.4
3.0,54.4
3.0,54.8
1.4,55.1
3.0,54.3
2.9,54.1
1.8,54.7
2.0,55.2
3.7,54.1
2.8,54.1
3.9,54.4
5.0,55.0
4.1,54.7
4.6,54.1
4.3,54.1
5.8,54.8
3.0,54.1
3.1,54.2
3.3,54.1
2.2,54.1
2.8,54.1
2.1,54.2
2.5,54.1
2.8,54.1
4.6,54.1
3.1,56.0
4.4,55.3
3.8,54.1
4.6,55.3
1.1,54.2
4.0,54.2
1.9,54.3
1.6,54.1
3.0,57.2
2.5,54.7
1.9,54.1
2.5,54.1
2.8,54.7
4.4,54.1
4.6,54.1
4.7,55.3
2.9,55.6
4.1,56.0
3.1,56.0
2.6,54.3
1.4,54.4
2.0,54.1
7.0,54.1
1.9,54.7
2.9,54.1
3.3,55.4
3.8,56.0
3.5,54.2
