cpu,memory
0.0,46.5
1.9,46.5
2.4,46.5
3.6,46.5
3.4,46.5
4.2,46.5
4.3,46.8
3.8,46.9
3.8,46.5
3.7,47.0
3.4,47.4
3.6,47.7
4.4,47.9
12.6,48.4
7.3,48.1
7.1,48.2
7.2,50.3
4.4,48.7
3.8,48.8
3.3,51.5
2.7,48.9
3.5,49.0
5.1,52.2
7.1,49.1
4.2,49.1
3.7,51.5
3.1,49.2
3.2,49.4
2.3,52.0
1.8,49.0
3.1,49.0
2.6,51.5
7.4,49.3
4.5,49.9
3.4,53.3
3.9,51.3
4.5,54.1
3.4,50.0
6.0,50.5
5.1,53.7
5.6,51.2
2.7,51.4
2.6,54.2
5.5,51.7
4.6,51.9
4.0,52.3
1.7,52.5
3.1,52.1
2.4,51.7
3.0,53.3
2.0,52.2
3.5,51.9
7.8,54.2
5.0,52.0
3.9,51.9
2.6,54.0
3.1,51.8
4.1,51.8
2.7,54.5
2.6,51.7
4.9,51.6
4.0,54.2
2.9,52.0
5.7,52.9
2.8,52.7
3.1,52.8
3.6,53.2
5.9,54.9
7.5,53.1
6.2,53.3
3.3,54.7
3.9,53.2
4.2,53.4
3.0,53.1
3.2,54.4
3.5,53.2
7.4,52.4
3.8,54.0
3.3,52.1
4.5,52.7
3.7,53.0
1.8,52.1
4.1,52.1
3.1,55.2
2.1,52.3
3.5,52.1
4.2,54.4
2.2,52.4
4.4,52.1
3.7,55.0
3.4,52.1
2.9,52.1
2.3,55.0
2.7,51.9
3.6,51.8
3.9,54.1
1.9,52.0
2.7,51.9
5.4,54.0
2.2,51.9
2.8,51.9
3.7,54.4
2.3,52.2
3.7,51.8
4.3,52.8
3.3,52.5
3.6,51.8
3.3,53.1
1.9,52.7
3.4,51.8
4.1,53.8
2.9,52.1
3.4,51.8
2.2,53.0
2.4,51.8
3.7,51.8
2.6,53.6
1.7,52.1
4.2,51.9
3.9,52.4
1.2,52.4
3.0,51.8
3.5,54.4
0.7,51.9
2.4,51.9
4.1,54.9
1.4,51.7
4.4,51.6
2.4,54.1
3.9,51.7
3.3,52.0
3.6,53.3
1.6,51.6
4.2,51.4
3.7,51.9
2.3,53.6
2.4,51.4
2.7,51.4
2.7,53.5
2.8,51.4
3.1,51.4
2.2,54.1
2.9,51.7
4.1,51.5
2.1,54.1
3.2,51.4
3.1,51.4
2.8,53.9
4.7,51.4
4.3,51.4
2.9,53.4
2.8,51.4
3.0,51.4
3.7,53.5
2.8,51.4
5.0,51.5
3.1,53.2
1.5,51.6
3.4,51.4
2.1,54.0
2.4,51.3
4.0,51.4
1.7,54.2
1.9,51.4
4.5,51.3
2.9,53.4
3.2,51.6
3.6,51.7
4.2,52.1
3.4,51.4
2.1,51.7
3.5,51.7
1.3,52.0
2.8,52.3
3.6,51.4
4.5,52.9
4.8,51.7
3.1,51.8
2.7,52.7
3.3,51.3
3.4,51.6
1.9,53.5
3.4,51.4
3.3,51.7
1.8,53.3
4.5,51.3
3.2,52.0
1.6,52.9
1.5,51.6
3.6,54.3
0.9,51.5
5.5,51.5
1.2,53.5
6.4,51.6
3.9,54.7
3.0,51.9
5.2,51.5
1.0,53.4
2.3,52.0
3.7,51.5
2.7,53.7
2.5,51.5
3.9,51.4
3.4,53.8
2.7,51.7
3.6,51.5
3.0,53.9
2.0,51.5
3.5,51.9
3.0,52.9
2.5,52.0
3.8,51.5
4.5,51.9
2.3,53.2
3.8,51.4
3.7,51.9
1.4,52.8
3.3,51.4
3.9,51.7
4.5,52.9
4.6,51.6
1.5,51.3
3.4,51.4
1.7,53.4
2.0,51.3
3.3,51.3
2.6,54.1
2.5,51.3
4.1,51.6
2.1,53.4
3.4,51.4
3.1,51.4
2.5,53.5
2.4,51.3
3.1,51.4
2.4,53.5
1.7,51.3
3.3,51.3
2.5,53.0
3.0,51.4
3.9,51.7
4.1,52.1
2.8,53.1
3.8,51.4
4.7,51.4
5.6,53.8
3.7,51.4
4.1,51.7
3.1,53.4
2.1,51.3
3.4,51.3
1.8,53.9
2.8,51.4
3.6,52.1
2.6,53.2
1.8,51.4
3.2,51.4
2.6,53.8
2.5,52.1
3.8,51.4
3.0,53.7
2.2,51.4
4.3,51.4
2.1,54.1
2.0,51.4
5.1,51.4
2.7,53.6
3.5,51.4
3.7,51.4
1.9,53.7
5.2,51.3
4.2,53.2
1.5,51.4
2.5,51.3
2.9,54.3
1.7,51.3
2.9,51.4
3.1,53.2
1.9,52.0
5.1,51.3
3.7,51.4
1.2,52.1
5.0,51.3
4.2,51.3
2.6,53.4
3.3,51.4
2.8,52.4
0.8,52.4
2.8,51.3
3.4,51.9
2.4,52.1
3.0,51.8
2.0,51.4
2.2,53.7
2.8,51.4
3.9,51.3
2.6,52.8
1.6,51.4
