cpu,memory
0.0,36.3
1.3,36.3
1.6,36.4
1.3,36.3
1.4,36.4
1.8,36.5
2.3,36.4
3.1,36.5
2.4,36.5
3.0,36.5
3.4,37.1
2.7,38.3
2.3,36.7
1.6,37.3
3.8,36.7
3.4,38.5
1.7,36.8
3.7,37.4
2.4,36.9
1.2,37.0
7.1,37.1
1.8,37.0
4.7,37.1
1.0,36.9
1.0,37.0
4.7,37.0
1.5,37.0
2.5,37.8
4.5,37.8
1.2,37.0
3.1,37.7
7.6,37.2
2.6,37.1
4.4,38.1
4.7,37.3
2.0,37.2
1.3,37.4
12.7,37.6
8.2,38.0
6.3,38.3
2.1,37.7
4.7,37.8
7.8,38.0
2.4,38.1
2.1,37.7
3.3,37.8
9.0,39.5
6.3,38.6
4.4,38.4
1.9,37.7
3.5,37.8
11.1,38.5
8.9,38.6
6.8,38.8
5.7,38.6
3.4,37.7
4.4,37.8
7.3,39.8
5.1,38.8
7.6,38.6
7.3,38.8
6.5,39.1
6.6,38.6
11.6,38.6
5.3,38.7
4.5,38.8
3.7,39.2
3.9,38.8
10.0,43.4
4.8,40.0
10.0,39.3
6.9,38.8
4.0,38.9
2.4,39.4
3.9,39.0
2.9,38.9
9.1,41.4
6.0,38.9
6.7,40.9
3.2,39.0
4.2,39.4
1.3,39.5
0.9,38.3
5.9,38.9
8.1,38.6
6.4,38.8
4.5,39.8
2.7,39.7
1.9,40.0
2.3,39.3
11.8,42.8
5.2,40.5
9.8,39.3
4.8,40.0
3.9,39.5
2.3,40.0
2.3,40.1
1.2,39.5
4.7,40.8
8.2,41.0
6.4,39.6
9.5,41.4
4.0,39.7
3.2,39.8
3.7,40.4
2.4,40.3
1.8,38.8
3.8,38.8
7.2,38.9
5.4,41.0
5.4,40.9
6.6,42.6
5.1,39.6
3.1,40.3
2.8,40.9
1.2,40.6
1.7,40.0
2.9,40.0
9.7,41.5
5.1,40.0
4.5,40.1
4.7,40.1
6.9,40.2
6.9,40.3
2.4,40.6
1.9,41.1
2.6,41.1
1.7,39.1
3.7,39.2
2.1,39.3
4.9,39.3
4.2,40.1
6.0,39.5
3.7,39.8
4.1,39.9
5.4,41.5
8.2,40.1
2.3,40.4
2.9,41.8
2.3,41.0
3.7,41.1
2.2,41.0
2.0,40.9
3.1,40.7
2.3,40.4
2.9,40.4
3.0,40.4
2.3,40.4
7.4,40.4
4.1,40.5
3.2,40.8
4.5,40.4
4.6,40.5
4.1,43.0
6.3,41.5
3.9,40.6
3.8,40.7
1.7,40.7
1.6,40.3
3.1,40.3
2.4,40.3
2.8,40.3
2.7,40.3
4.3,40.3
3.1,40.3
5.4,40.3
4.7,40.3
5.5,40.4
4.4,40.5
6.5,43.2
3.7,40.5
3.0,40.6
1.8,41.1
2.5,41.1
2.6,40.4
2.6,40.5
3.8,40.3
3.0,40.9
3.0,40.3
1.6,40.6
3.9,40.3
7.0,40.2
4.7,40.3
4.2,40.9
5.6,40.8
4.7,40.4
5.5,40.4
3.7,41.5
3.3,40.6
3.5,40.6
1.7,40.2
5.4,40.3
2.8,40.3
2.3,40.5
2.6,40.7
3.4,40.6
5.3,40.4
2.9,40.4
4.8,40.3
3.6,40.3
7.3,40.3
4.9,42.2
7.2,40.4
2.5,40.5
1.2,40.7
2.8,40.3
4.1,40.6
3.9,40.2
2.2,40.3
3.1,40.3
4.7,40.3
5.5,40.3
2.7,41.0
5.6,42.1
5.2,40.5
9.1,40.5
6.4,42.8
4.6,40.7
1.7,40.8
1.9,40.7
3.1,40.5
5.0,41.7
3.8,40.5
3.2,40.4
3.0,40.4
2.0,40.4
2.6,40.4
3.9,40.4
3.0,40.4
8.1,40.4
4.4,41.4
5.0,41.1
3.8,40.9
3.8,40.7
5.2,43.3
4.2,40.7
1.6,42.0
3.2,41.0
2.8,40.6
3.5,39.7
2.5,39.8
3.9,39.8
3.2,39.9
3.0,40.0
2.8,41.2
3.8,41.4
3.6,40.7
5.4,40.0
3.8,40.1
5.2,41.3
4.4,40.2
4.9,40.5
7.8,40.3
3.1,41.4
2.5,40.3
2.8,40.2
3.1,40.2
