cpu,memory
0.0,45.0
30.2,45.2
12.3,45.7
9.4,46.5
3.6,45.3
5.0,45.2
1.4,45.2
4.5,45.2
1.9,45.2
4.1,45.5
1.9,45.7
4.9,45.6
4.1,45.8
5.9,45.7
2.5,45.9
4.5,46.0
3.7,45.9
4.2,45.8
2.8,45.7
3.9,45.7
2.6,45.7
4.9,45.6
3.8,45.6
4.0,45.6
2.4,45.6
5.2,45.6
4.2,45.7
4.4,45.6
5.2,45.6
2.1,45.7
5.0,45.7
3.3,45.7
5.5,45.8
4.8,45.9
5.9,46.0
3.7,46.0
7.7,46.1
4.8,46.2
6.0,46.1
4.0,46.2
6.7,46.1
3.6,46.1
5.7,46.1
4.4,46.1
8.1,46.2
3.8,46.2
6.0,46.2
2.7,46.1
5.8,46.1
3.2,46.2
8.1,46.2
4.8,46.2
7.6,46.3
4.0,46.2
6.9,46.3
5.1,46.3
7.1,46.2
5.0,46.2
5.4,46.2
5.8,46.2
6.0,46.2
2.8,46.3
6.1,46.3
4.4,46.3
7.2,46.2
3.4,46.3
6.3,46.2
4.7,46.2
4.8,46.2
3.9,46.2
5.1,46.3
3.7,46.5
2.4,46.6
2.8,46.5
4.7,46.6
2.4,46.5
3.5,46.6
2.1,46.5
1.9,46.7
2.2,46.6
4.3,46.6
1.6,46.5
2.8,46.5
1.5,46.5
2.2,46.4
3.3,46.4
1.9,46.5
2.1,46.5
1.5,46.4
3.2,46.4
3.7,46.4
6.6,46.4
3.2,46.5
9.2,46.3
3.7,46.3
3.1,46.3
9.4,46.4
3.8,46.3
6.0,46.3
3.6,46.4
4.9,46.3
4.4,46.3
4.7,46.2
4.4,46.3
4.8,46.3
4.7,46.4
5.7,46.2
5.0,46.3
3.7,46.3
5.9,46.3
3.3,46.5
4.4,46.4
3.7,46.4
4.1,46.4
3.6,46.4
6.8,46.3
6.0,46.4
4.2,46.4
3.5,46.4
5.7,46.3
3.2,46.3
4.6,46.2
3.8,46.2
4.3,46.3
3.3,46.2
5.7,46.2
7.2,45.7
3.9,45.6
3.5,45.7
4.7,45.7
3.6,45.6
3.4,45.7
3.9,45.7
4.5,45.7
4.4,45.7
4.8,45.8
7.5,45.9
7.1,45.9
4.2,45.9
4.0,46.0
5.7,46.0
4.2,45.9
5.2,46.0
6.2,45.7
5.0,45.7
4.8,45.8
6.6,45.9
4.5,45.9
6.4,45.9
4.1,45.9
4.1,45.9
5.2,45.9
4.5,45.8
5.2,45.8
4.6,45.9
6.2,45.9
4.9,45.8
4.1,45.8
6.6,46.0
3.8,45.9
6.5,46.1
4.4,46.0
4.6,46.1
3.3,46.1
3.9,46.1
2.9,46.1
8.7,46.0
3.7,46.1
5.3,46.1
3.2,46.2
5.6,46.3
2.1,46.3
5.3,46.5
6.3,46.9
8.1,47.3
10.4,48.7
9.0,49.8
10.5,48.6
11.4,47.4
5.3,45.4
4.6,45.5
4.6,45.5
5.5,45.4
2.6,45.5
3.7,45.4
3.4,45.3
5.1,45.3
2.4,45.3
4.6,45.4
3.8,45.5
3.9,45.3
3.3,45.3
4.5,45.4
3.9,45.4
3.5,45.5
3.9,45.4
6.7,45.4
4.4,45.4
4.6,45.5
5.1,45.4
4.3,45.5
3.9,45.5
4.2,45.5
4.1,45.4
4.1,45.6
3.9,45.5
5.8,45.5
4.8,45.4
3.7,45.5
3.9,45.3
4.1,45.3
4.1,45.4
2.6,45.5
5.1,45.4
3.1,45.4
5.5,45.5
5.6,45.5
12.3,45.4
10.6,45.4
9.2,45.4
6.8,45.4
9.4,45.4
3.8,45.4
7.6,45.5
2.9,45.2
5.4,45.2
7.2,45.2
6.9,45.3
4.0,45.3
4.6,45.3
4.5,45.3
5.9,45.3
3.5,45.3
4.9,45.4
5.3,45.4
3.8,45.4
6.0,45.4
5.2,45.3
5.1,45.3
4.2,45.3
6.1,45.3
4.2,45.3
5.1,45.3
3.3,45.3
6.6,45.4
4.4,45.3
8.0,45.3
3.5,45.3
5.2,45.4
4.6,45.4
5.6,45.3
4.0,45.3
4.3,45.5
3.2,45.5
4.7,45.6
4.6,45.6
7.1,45.6
3.8,45.6
5.8,45.5
4.0,45.5
6.2,45.6
4.1,45.6
3.4,45.5
3.3,45.5
3.7,45.4
2.7,45.6
7.3,45.5
3.6,45.5
3.9,45.5
3.7,45.5
3.3,45.7
4.4,45.5
3.0,45.5
3.2,45.5
3.4,45.6
5.8,45.6
6.9,45.5
6.4,45.5
4.3,45.7
7.8,45.4
7.3,45.5
5.9,45.7
5.0,45.6
4.9,45.5
4.0,45.6
4.6,45.5
5.0,45.5
3.7,45.7
3.6,45.6
5.1,45.6
4.0,45.6
5.5,45.5
