cpu,memory
0.0,47.8
54.3,48.3
33.5,48.1
19.7,48.1
21.7,48.1
20.9,48.1
24.2,48.2
25.0,48.2
26.4,48.2
27.2,48.2
28.1,48.2
30.6,48.2
33.4,48.3
37.2,48.3
38.6,48.3
41.4,48.4
43.2,48.4
46.1,48.4
49.3,48.4
51.7,48.4
51.0,48.5
54.6,48.5
53.5,48.5
56.6,48.5
58.7,48.5
60.4,48.6
61.4,48.6
64.9,48.6
67.1,48.6
68.8,48.7
73.7,48.7
9.0,48.2
15.9,48.2
20.1,48.2
22.7,48.2
23.8,48.4
26.2,48.5
27.5,48.5
30.1,48.5
32.2,48.6
34.5,48.6
35.2,49.0
38.6,49.0
40.4,49.0
42.9,49.0
43.8,49.0
47.1,49.0
49.4,49.1
49.8,49.1
52.8,49.1
54.7,49.1
59.2,48.4
58.9,48.5
60.9,48.5
63.3,48.5
64.8,48.6
66.5,48.6
67.3,48.7
68.9,48.7
70.0,48.7
74.5,48.8
11.7,48.1
15.4,48.0
21.6,48.2
22.8,48.2
23.9,48.2
27.8,48.3
34.4,48.8
39.4,50.4
33.2,50.4
33.9,50.4
36.0,50.4
39.1,49.3
39.1,49.3
40.6,49.4
43.8,50.6
47.6,51.8
48.9,52.9
48.7,53.2
52.3,52.8
53.7,53.0
54.0,51.9
55.8,51.9
58.3,51.9
60.1,52.0
63.0,52.1
64.4,52.2
67.2,52.2
68.2,52.2
70.7,52.3
12.4,52.2
23.4,52.0
29.7,52.0
29.7,51.9
31.1,51.9
31.2,51.9
32.4,51.9
34.1,52.0
39.1,52.0
45.2,52.2
46.3,52.2
42.9,52.1
44.4,52.1
44.8,52.1
46.1,52.1
49.7,52.2
52.4,52.2
55.3,52.2
55.5,52.2
57.3,52.3
59.0,52.3
59.0,52.4
62.7,52.4
62.2,52.5
64.3,52.6
65.4,52.5
66.5,52.6
70.2,52.6
13.2,52.3
20.1,52.3
25.8,52.4
24.2,52.7
30.0,52.8
29.7,52.8
30.5,52.9
32.8,52.9
35.1,52.8
36.8,52.8
39.0,52.8
39.3,52.8
42.8,52.8
44.3,52.9
46.8,53.0
49.5,53.0
51.1,53.0
52.3,53.0
56.2,53.1
57.8,53.1
61.0,53.1
62.2,53.1
63.8,53.1
69.5,53.1
73.0,51.8
17.3,52.4
23.8,53.4
27.3,54.3
22.7,54.1
27.1,54.2
30.4,54.0
31.4,52.3
35.1,52.4
37.2,52.6
41.0,52.5
40.4,52.5
41.4,52.3
44.4,52.3
46.2,52.3
46.1,52.3
48.2,52.2
48.0,52.3
49.1,52.3
51.7,52.2
52.1,52.2
51.7,52.3
53.6,52.3
54.1,52.4
55.6,52.4
58.8,52.4
60.9,52.4
63.5,52.3
64.6,52.4
66.6,52.4
66.3,52.4
68.0,52.5
70.4,52.5
7.6,52.3
21.5,52.0
30.4,52.0
32.4,52.0
31.9,52.0
33.6,52.0
35.7,51.9
36.5,52.0
38.0,51.9
39.1,51.9
42.1,51.9
43.2,51.9
43.4,52.1
43.2,52.1
48.1,50.6
49.0,50.3
48.9,50.3
51.7,50.5
51.8,50.5
57.0,50.7
54.6,50.5
56.8,50.1
58.9,50.2
59.4,50.5
63.2,50.8
65.6,51.2
69.1,52.0
71.7,52.4
15.6,52.3
22.6,52.5
26.2,52.7
28.3,50.5
30.1,50.8
33.5,51.7
36.3,52.3
37.3,52.3
37.9,52.5
40.3,52.7
41.8,50.9
43.8,51.2
45.2,52.2
48.2,52.3
49.2,52.5
52.0,52.5
54.0,51.2
53.6,51.3
57.5,51.3
58.5,51.4
